first_author,year,full_entry
Liu,2013,"Liu, J., Zhang, D., Li, Y., Chen, W., Ruan, Z., Deng, L., Wang, L., Tian, H., Yiu, A., Fan, C. and Luo, H. (2013). Discovery of bufadienolides as a novel class of ClC-3 chloride channel activators with antitumor activities. Journal of medicinal chemistry, 56(14), pp.5734-5743."
Liu,2023,"Liu, S., Liu, X., Lin, X. and Chen, H. (2023). Zinc finger proteins in the war on gastric cancer: Molecular mechanism and clinical potential. Cells, 12(9), p.1314."
Liu,2021,"Liu, X., Qiu, R., Xu, M., Meng, M., Zhao, S., Ji, J. and Yang, Y. (2021). KMT2C is a potential biomarker of prognosis and chemotherapy sensitivity in breast cancer. Breast Cancer Research and Treatment, 189, pp.347-361."
Lloyd,1996,"Lloyd, S.E., Pearce, S.H. and Fisher, S.E. (1996). A common molecular basis for three inherited kidney stone diseases. Nature, 379(6564), pp.445-449."
Lokanga,2021,"Lokanga, R.A., Kumari, D. and Usdin, K. (2021). Common threads: aphidicolin-inducible and folate-sensitive fragile sites in the human genome. Frontiers in Genetics, 12, p.708860."
Lorenz,2015,"Lorenz, S., Barøy, T., Sun, J., Nome, T., Vodák, D., Bryne, J.C., Håkelien, A.M., Fernandez-Cuesta, L., Möhlendick, B., Rieder, H. and Szuhai, K. (2015). Unscrambling the genomic chaos of osteosarcoma reveals extensive transcript fusion, recurrent rearrangements and frequent novel TP53 aberrations. Oncotarget, 7(5), p.5273."
Lowe,2017,"Lowe, R., Shirley, N., Bleackley, M., Dolan, S. and Shafee, T. (2017). Transcriptomics technologies. PLoS computational biology, 13(5), p.e1005457."
Lu,2016,"Lu, J., Chen, J., Xu, N., Wu, J., Kang, Y., Shen, T., Kong, H., Ma, C., Cheng, M., Shao, Z. and Xu, L. (2016). Activation of AIFM2 enhances apoptosis of human lung cancer cells undergoing toxicological stress. Toxicology letters, 258, pp.227-236."
Lu,2023,"Lu, J., Fu, L.M., Cao, Y., Fang, Y., Cao, J.Z., Pan, Y.H., Cen, J.J., Liang, Y.P., Chen, Z.H., Wei, J.H. and Huang, Y. (2023). LZTFL1 inhibits kidney tumor cell growth by destabilizing AKT through ZNRF1-mediated ubiquitin proteosome pathway. Oncogene, 42(19), pp.1543-1557."
Lu,2021,"Lu, T., Peng, H., Zhong, L., Wu, P., He, J., Deng, Z. and Huang, Y., (2021). The tree shrew as a model for cancer research. Frontiers in Oncology, 11, p.653236."
Lubamba,2012,"Lubamba, B., Dhooghe, B., Noel, S. and Leal, T. (2012). Cystic fibrosis: Insight into CFTR pathophysiology and pharmacotherapy. Clinical Biochemistry, 45(15), pp.1132-1144."
Lundberg,2019,"Lundberg, E. and Borner, G.H. (2019). Spatial proteomics: a powerful discovery tool for cell biology. Nature Reviews Molecular Cell Biology, 20(5), pp.285-302."
Luo,2016,"Luo, S., Chen, J. and Mo, X. (2016). The association of PTEN hypermethylation and breast cancer: a meta-analysis. OncoTargets and therapy, pp.5643-5650."
Luscombe,2001,"Luscombe, N.M., Laskowski, R.A. and Thornton, J.M. (2001). Amino acid–base interactions: a three-dimensional analysis of protein–DNA interactions at an atomic level. Nucleic acids research, 29(13), pp.2860-2874."
Lyu,2022,"Lyu, X., Zhang, Q., Fares, H.M., Wang, Y., Han, Y. and Sun, L. (2022). Contribution of adipocytes in the tumor microenvironment to breast cancer metabolism. Cancer Letters, 534, p.215616."
Lüönd,2021,"Lüönd, F., Tiede, S. and Christofori, G. (2021). Breast cancer as an example of tumour heterogeneity and tumour cell plasticity during malignant progression. British journal of cancer, 125(2), pp.164-175."
Macheret,2015,"Macheret, M. and Halazonetis, T.D. (2015). DNA replication stress as a hallmark of cancer. Annual Review of Pathology: Mechanisms of Disease, 10(1), pp.425-448."
Macheret,2020,"Macheret, M., Bhowmick, R., Sobkowiak, K., Padayachy, L., Mailler, J., Hickson, I.D. and Halazonetis, T.D. (2020). High-resolution mapping of mitotic DNA synthesis regions and common fragile sites in the human genome through direct sequencing. Cell research, 30(11), pp.997-1008."
Maciejewski,2017,"Maciejewski, A., Prado, V.F., Prado, M.A. and Choy, W.Y. (2017). Molecular basis for the interaction between stress-inducible phosphoprotein 1 (STIP1) and S100A1. Biochemical Journal, 474(11), pp.1853-1866."
Mackay,2022,"Mackay, D.J. and Temple, I.K. (2022). Ongoing challenges in the diagnosis of 11p15. 5-Associated Imprinting disorders. Molecular Diagnosis & Therapy, 26(3), pp.263-272."
MacMullan,2019,"MacMullan, M.A., Dunn, Z.S., Graham, N.A., Yang, L. and Wang, P. (2019). Quantitative proteomics and metabolomics reveal biomarkers of disease as potential immunotherapy targets and indicators of therapeutic efficacy. Theranostics, 9(25), p.7872."
Maffia,2020,"Maffia, A., Ranise, C. and Sabbioneda, S. (2020) From R-loops to G-quadruplexes: emerging new threats for the replication fork. International journal of molecular sciences, 21(4), p.1506."
Magdalou,2014,"Magdalou, I., Lopez, B.S., Pasero, P. and Lambert, S.A. (2014), June. The causes of replication stress and their consequences on genome stability and cell fate. In Seminars in cell & developmental biology (Vol. 30, pp. 154-164). Academic Press."
Mahdavi,2019,"Mahdavi, M., Nassiri, M., Kooshyar, M.M., Vakili‐Azghandi, M., Avan, A., Sandry, R., Pillai, S., Lam, A.K.Y. and Gopalan, V. (2019). Hereditary breast cancer; Genetic penetrance and current status with BRCA. Journal of cellular physiology, 234(5), pp.5741-5750."
Majidi,2021,"Majidi, M., Safaee, S., Amini, M., Baghbanzadeh, A., Hajiasgharzadeh, K., Hashemzadeh, S., Sandoghchian Shotorbani, S., Mokhtarzadeh, A. and Baradaran, B. (2021). The effects of chemotherapeutic drugs on PD-L1 gene expression in breast cancer cell lines. Medical Oncology, 38, pp.1-8."
Majumder,2021,"Majumder, E.L.W., Billings, E.M., Benton, H.P., Martin, R.L., Palermo, A., Guijas, C., Rinschen, M.M., Domingo-Almenara, X., Montenegro-Burke, J.R., Tagtow, B.A. and Plumb, R.S. (2021). Cognitive analysis of metabolomics data for systems biology. Nature Protocols, 16(3), pp.1376-1418."
Makino,2001,"Makino, T., Takaishi, M., Morohashi, M. and Huh, N.H. (2001). Hornerin, a novel profilaggrin-like protein and differentiation-specific marker isolated from mouse skin. Journal of biological chemistry, 276(50), pp.47445-47452."
Makita,2021,"Makita, S., Takatori, H. and Nakajima, H. (2021). Post-transcriptional regulation of immune responses and inflammatory diseases by RNA-binding ZFP36 family proteins. Frontiers in immunology, 12, p.711633."
Mann,2008,"Mann, M. and Kelleher, N.L. (2008). Precision proteomics: the case for high resolution and high mass accuracy. Proceedings of the National Academy of Sciences, 105(47), pp.18132-18138."
Mann,2005,"Mann, M.B., Hodges, C.A., Barnes, E., Vogel, H., Hassold, T.J. and Luo, G. (2005). Defective sister-chromatid cohesion, aneuploidy and cancer predisposition in a mouse model of type II Rothmund–Thomson syndrome. Human molecular genetics, 14(6), pp.813-825."
Mardis,2018,"Mardis, E.R. (2018). Insights from large-scale cancer genome sequencing. Annual Review of Cancer Biology, 2, pp.429-444."
Marguerat,2010,"Marguerat, S. and Bähler, J. (2010). RNA-seq: from technology to biology. Cellular and molecular life sciences, 67, pp.569-579."
Marshall,2019,"Marshall, A.E., Roes, M.V., Passos, D.T., DeWeerd, M.C., Chaikovsky, A.C., Sage, J., Howlett, C.J. and Dick, F.A. (2019). RB1 deletion in retinoblastoma protein pathway-disrupted cells results in DNA damage and cancer progression. Molecular and Cellular Biology, 39(16), pp.e00105-19."
Martelotto,2014,"Martelotto, L.G., Ng, C.K., Piscuoglio, S., Weigelt, B. and Reis-Filho, J.S. (2014). Breast cancer intra-tumor heterogeneity. Breast Cancer Research, 16, pp.1-11."
Marvalim,2023,"Marvalim, C., Datta, A. and Lee, S.C. (2023). Role of p53 in breast cancer progression: An insight into p53 targeted therapy. Theranostics, 13(4), p.1421."
McArdle,2021,"McArdle, A.J. and Menikou, S. (2021). What is proteomics?. Archives of Disease in Childhood-Education and Practice, 106(3), pp.178-181."
McCart,2019,"McCart Reed, A.E., Kalita‐De Croft, P., Kutasovic, J.R., Saunus, J.M. and Lakhani, S.R. (2019). Recent advances in breast cancer research impacting clinical diagnostic practice. The Journal of pathology, 247(5), pp.552-562."
McKiernan,2011,"McKiernan, E., McDermott, E.W., Evoy, D., Crown, J. and Duffy, M.J. (2011). The role of S100 genes in breast cancer progression. Tumor Biology, 32, pp.441-450."
Melchor,2013,"Melchor, L. and Benítez, J. (2013). The complex genetic landscape of familial breast cancer. Human genetics, 132, pp.845-863."
Micallef,2020,"Micallef, I. and Baron, B. (2020). Doxorubicin: An overview of the anti-cancer and chemoresistance mechanisms."
Milenkovic,2018,"Milenkovic, V.M., Bergen, A.A. and Begemann, I. (2018). Bestrophins and cancer: Emerging roles of bestrophin-1 in tumorigenesis. Cancer Letters, 432, pp.36-48."
Mirabello,2009,"Mirabello, L., Troisi, R.J. and Savage, S.A. (2009). International osteosarcoma incidence patterns in children and adolescents, middle ages and elderly persons. International journal of cancer, 125(1), pp.229-234."
Mirzaei,2021,"Mirzaei, S., Zarrabi, A., Hashemi, F., Zabolian, A., Saleki, H., Ranjbar, A., Saleh, S.H.S., Bagherian, M., omid Sharifzadeh, S., Hushmandi, K. and Liskova, A. (2021). Regulation of Nuclear Factor-KappaB (NF-κB) signaling pathway by non-coding RNAs in cancer: Inhibiting or promoting carcinogenesis?. Cancer Letters, 509, pp.63-80."
Mojica,2013,"Mojica, F.J. and Garrett, R.A. (2013). Discovery and seminal developments in the CRISPR field. CRISPR-Cas systems: RNA-mediated adaptive immunity in bacteria and archaea, pp.1-31."
Moraes,2016,"Moraes, F. and Góes, A. (2016). A decade of human genome project conclusion: Scientific diffusion about our genome knowledge. Biochemistry and Molecular Biology Education, 44(3), pp.215-223."
Mukherjee,2014,"Mukherjee, N., Jacobs, N.C., Hafner, M., Kennington, E.A., Nusbaum, J.D., Tuschl, T., Blackshear, P.J. and Ohler, U. (2014). Global target mRNA specification and regulation by the RNA-binding protein ZFP36. Genome biology, 15, pp.1-16."
Muley,2020,"Muley, H., Fado, R., Rodriguez-Rodriguez, R. and Casals, N. (2020). Drug uptake-based chemoresistance in breast cancer treatment. Biochemical pharmacology, 177, p.113959."
Murayama,2019,"Murayama, T. and Gotoh, N. (2019). Patient-derived xenograft models of breast cancer and their application. Cells, 8(6), p.621."
Nascimento,2021,"Nascimento, C. and Ferreira, F. (2021). Tumor microenvironment of human breast cancer, and feline mammary carcinoma as a potential study model. Biochimica et Biophysica Acta (BBA)-Reviews on Cancer, 1876(1), p.188587."
Nasir,2012,"Nasir, A., Norton, J.D., Baou, M., Zekavati, A., Bijlmakers, M.J., Thompson, S. and Murphy, J.J. (2012). ZFP36L1 negatively regulates plasmacytoid differentiation of BCL1 cells by targeting BLIMP1 mRNA. PLoS One, 7(12), p.e52187."
Nedeljković,2019,"Nedeljković, M. and Damjanović, A. (2019). Mechanisms of chemotherapy resistance in triple-negative breast cancer—how we can rise to the challenge. Cells, 8(9), p.957."
Neve,2006,"Neve, R.M., Chin, K., Fridlyand, J., Yeh, J., Baehner, F.L., Fevr, T., Clark, L., Bayani, N., Coppe, J.P., Tong, F. and Speed, T. (2006). A collection of breast cancer cell lines for the study of functionally distinct cancer subtypes. Cancer cell, 10(6), pp.515-527."
Newman,2017,"Newman, R., Ahlfors, H., Saveliev, A., Galloway, A., Hodson, D.J., Williams, R., Besra, G.S., Cook, C.N., Cunningham, A.F., Bell, S.E. and Turner, M. (2017). Maintenance of the marginal-zone B cell compartment specifically requires the RNA-binding protein ZFP36L1. Nature immunology, 18(6), pp.683-693."
Ng,2018,"Ng, Y.S., Lax, N.Z., Maddison, P., Alston, C.L., Blakely, E.L., Hepplewhite, P.D., Riordan, G., Meldau, S., Chinnery, P.F., Pierre, G. and Chronopoulou, E. (2018). MT-ND5 mutation exhibits highly variable neurological manifestations at low mutant load. EBioMedicine, 30, pp.86-93."
Nik-Zainal,2016,"Nik-Zainal, S., Davies, H., Staaf, J., Ramakrishna, M., Glodzik, D., Zou, X., Martincorena, I., Alexandrov, L.B., Martin, S., Wedge, D.C. and Van Loo, P. (2016). Landscape of somatic mutations in 560 breast cancer whole-genome sequences. Nature, 534(7605), pp.47-54."
Niklas,2015,"Niklas, K.J., Bondos, S.E., Dunker, A.K. and Newman, S.A. (2015). Rethinking gene regulatory networks in light of alternative splicing, intrinsically disordered protein domains, and post-translational modifications. Frontiers in cell and developmental biology, 3, p.8."
Nowell,1976,"Nowell, P.C. (1976). The Clonal Evolution of Tumor Cell Populations: Acquired genetic lability permits stepwise selection of variant sublines and underlies tumor progression. Science, 194(4260), pp.23-28."
Nugoli,2003,"Nugoli, M., Chuchana, P., Vendrell, J., Orsetti, B., Ursule, L., Nguyen, C., Birnbaum, D., Douzery, E.J., Cohen, P. and Theillet, C. (2003). Genetic variability in MCF-7 sublines: evidence of rapid genomic and RNA expression profile modifications. BMC cancer, 3, pp.1-12."
Nurchis,2024,"Nurchis, M.C., Radio, F.C., Salmasi, L., Alizadeh, A.H., Raspolini, G.M., Altamura, G., Tartaglia, M., Dallapiccola, B., Pizzo, E., Gianino, M.M. and Damiani, G. (2024). Cost-effectiveness of whole-genome vs whole-exome sequencing among children with suspected genetic disorders. JAMA network open, 7(1), pp.e2353514-e2353514."
Nurk,2022,"Nurk, S., Koren, S., Rhie, A., Rautiainen, M., Bzikadze, A.V., Mikheenko, A., Vollger, M.R., Altemose, N., Uralsky, L., Gershman, A. and Aganezov, S. (2022). The complete sequence of a human genome. Science, 376(6588), pp.44-53."
Obeagu,2024,"Obeagu, E.I. and Obeagu, G.U. (2024). Breast cancer: A review of risk factors and diagnosis. Medicine, 103(3), p.e36905."
Ong,2011,"Ong, C.T. and Corces, V.G. (2011). Enhancer function: new insights into the regulation of tissue-specific gene expression. Nature Reviews Genetics, 12(4), pp.283-293."
Otsuka,2019,"Otsuka, H., Fukao, A., Funakami, Y., Duncan, K.E. and Fujiwara, T. (2019). Emerging evidence of translational control by AU-rich element-binding proteins. Frontiers in genetics, 10, p.332."
Otsuka,2020,"Otsuka, H., Fukao, A., Tomohiro, T., Adachi, S., Suzuki, T., Takahashi, A., Funakami, Y., Natsume, T., Yamamoto, T., Duncan, K.E. and Fujiwara, T. (2020). ARE-binding protein ZFP36L1 interacts with CNOT1 to directly repress translation via a deadenylation-independent mechanism. Biochimie, 174, pp.49-56."
Ottaviani,2009,"Ottaviani, G. and Jaffe, N. (2009). The epidemiology of osteosarcoma. Pediatric and adolescent osteosarcoma, pp.3-13."
Oudelaar,2021,"Oudelaar, A.M. and Higgs, D.R. (2021). The relationship between genome structure and function. Nature Reviews Genetics, 22(3), pp.154-168."
Ovejero,2021,"Ovejero, S., Soulet, C. and Moriel-Carretero, M. (2021). The alkylating agent methyl methanesulfonate triggers lipid alterations at the inner nuclear membrane that are independent from its DNA-damaging ability. International Journal of Molecular Sciences, 22(14), p.7461."
Ozeri-Galai,2014,"Ozeri-Galai, E., Tur-Sinai, M., Bester, A.C. and Kerem, B. (2014). Interplay between genetic and epigenetic factors governs common fragile site instability in cancer. Cellular and Molecular Life Sciences, 71, pp.4495-4506."
Pagni,2022,"Pagni, S., Mills, J.D., Frankish, A., Mudge, J.M. and Sisodiya, S.M. (2022). Non‐coding regulatory elements: Potential roles in disease and the case of epilepsy. Neuropathology and Applied Neurobiology, 48(3), p.e12775."
Palumbo,2019,"Palumbo, E. and Russo, A. (2019). Common fragile site instability in normal cells: Lessons and perspectives. Genes, Chromosomes and Cancer, 58(5), pp.260-269."
Papasavva,2019,"Papasavva, P., Kleanthous, M. and Lederer, C.W. (2019) Rare opportunities: CRISPR/Cas-based therapy development for rare genetic diseases. Molecular diagnosis & therapy, 23(2), p.201."
Parakatselaki,2021,"Parakatselaki, M.E. and Ladoukakis, E.D. (2021). mtDNA heteroplasmy: origin, detection, significance, and evolutionary consequences. Life, 11(7), p.633."
Pareek,2011,"Pareek, C.S., Smoczynski, R. and Tretyn, A. (2011). Sequencing technologies and genome sequencing. Journal of applied genetics, 52(4), pp.413-435."
Park,2009,"Park, S.A., Na, H.K., Kim, E.H., Cha, Y.N. and Surh, Y.J. (2009). 4-Hydroxyestradiol induces anchorage-independent growth of human mammary epithelial cells via activation of IκB kinase: Potential role of reactive oxygen species. Cancer research, 69(6), pp.2416-2424."
Parthasarathi,2022,"Parthasarathi, K.S., Mandal, S., Singh, S., Gundimeda, S., Jolly, M.K., Pandey, A. and Sharma, J. (2022). In silico analysis of ion channels and their correlation with epithelial to mesenchymal transition in breast cancer. Cancers, 14(6), p.1444."
Parthasarathi,2022,"Parthasarathi, M., Wilczyński, B., & Gupta, S. (2022). EMT and ion channel involvement in breast cancer metastasis. BMC Cancer, 22(1), 453."
Passos,2022,"Passos, G.A. ed. (2022). Transcriptomics in Health and Disease. Springer."
Patra,2022,"Patra, P., Disha, B.R., Kundu, P., Das, M. and Ghosh, A. (2022). Recent advances in machine learning applications in metabolic engineering. Biotechnology Advances, p.108069."
Paul,2014,"Paul, A. and Paul, S. (2014). The breast cancer susceptibility genes (BRCA) in breast and ovarian cancers. Frontiers in bioscience (Landmark edition), 19, p.605."
Pecorino,2021,"Pecorino, L. (2021). Molecular biology of cancer: mechanisms, targets, and therapeutics. Oxford university press."
Pedersen,2019,"Pedersen, S.F. and Hoffmann, E.K. (2019). Cell volume regulation and cancer. American Journal of Physiology-Cell Physiology, 316(5), pp.C635-C652."
Pelham,2020,"Pelham, C.J., Nagane, M. and Madan, E. (2020). June. Cell competition in tumor evolution and heterogeneity: merging past and present. In Seminars in Cancer Biology (Vol. 63, pp. 11-18). Academic Press."
Peng,2017,"Peng, Y., Yuan, J., Zhang, Z. and Chang, X. (2017). Cytoplasmic poly (A)-binding protein 1 (PABPC1) interacts with the RNA-binding protein hnRNPLL and thereby regulates immunoglobulin secretion in plasma cells. Journal of Biological Chemistry, 292(29), pp.12285-12295."
Pfeifer,2024,"Pfeifer, G.P. and Jin, S.G. (2024). Methods and applications of genome-wide profiling of DNA damage and rare mutations. Nature Reviews Genetics, 25(12), pp.846-863."
Pignataro,2017,"Pignataro, D., Francia, S., Zanetta, F., Brenna, G., Brandini, S., Olivieri, A., Torroni, A., Biamonti, G. and Montecucco, A. (2017). A missense MT-ND5 mutation in differentiated Parkinson Disease cytoplasmic hybrid induces ROS-dependent DNA Damage Response amplified by DROSHA. Scientific reports, 7(1), p.9528."
Pilet,2023,"Pilet, J., Hirsch, T.Z., Gupta, B., Roehrig, A., Morcrette, G., Pire, A., Letouzé, E., Fresneau, B., Taque, S., Brugières, L. and Branchereau, S. (2023). Preneoplastic liver colonization by 11p15. 5 altered mosaic cells in young children with hepatoblastoma. Nature Communications, 14(1), p.7122."
Pinto,2020,"Pinto, B., Henriques, A.C., Silva, P.M. and Bousbaa, H. (2020). Three-dimensional spheroids as in vitro preclinical models for cancer research. Pharmaceutics, 12(12), p.1186."
Pinu,2019,"Pinu, F.R., Beale, D.J., Paten, A.M., Kouremenos, K., Swarup, S., Schirra, H.J. and Wishart, D. (2019). Systems biology and multi-omics integration: viewpoints from the metabolomics research community. Metabolites, 9(4), p.76."
Pittayapruek,2016,"Pittayapruek, P., Meephansan, J. and Prapapan, O. (2016). Role of matrix metalloproteinases in photoaging and skin cancers. International Journal of Molecular Sciences, 17(6), p.868."
Ponten,1967,"Ponten, J. and Saksela, E. (1967). Two established in vitro cell lines from human mesenchymal tumours. International journal of cancer, 2(5), pp.434-447."
Pourcel,2005,"Pourcel, C., Salvignol, G. and Vergnaud, G. (2005). CRISPR elements in Yersinia pestis acquire new repeats by preferential uptake of bacteriophage DNA, and provide additional tools for evolutionary studies. Microbiology, 151(3), pp.653-663."
Prindull,2004,"Prindull, G. and Zipori, D. (2004). Environmental guidance of normal and tumor cell plasticity: epithelial mesenchymal transitions as a paradigm. Blood, 103(8), pp.2892-2899."
Pruitt,2007,"Pruitt, S.C., Bailey, K.J. and Freeland, A. (2007). Reduced Mcm2 expression results in severe stem/progenitor cell deficiency and cancer. Stem cells, 25(12), pp.3121-3132."
Péqueux,2012,"Péqueux, C., Raymond-Letron, I., Blacher, S., Boudou, F., Adlanmerini, M., Fouque, M.J., Rochaix, P., Noël, A., Foidart, J.M., Krust, A. and Chambon, P. (2012). Stromal Estrogen Receptor-α Promotes Tumor Growth by Normalizing an Increased AngiogenesisStromal ERα Normalized Angiogenesis in ER-Negative Tumor. Cancer research, 72(12), pp.3010-3019."
Rabanal-Ruiz,2017,"Rabanal-Ruiz, Y., Otten, E.G. and Korolchuk, V.I. (2017). mTORC1 as the main gateway to autophagy. Essays in biochemistry, 61(6), pp.565-584."
Rajaei,2021,"Rajaei, Moein, Ayush Shekhar Saxena, Lindsay M. Johnson, Michael C. Snyder, Timothy A. Crombie, Robyn E. Tanny, Erik C. Andersen, Joanna Joyner-Matos, and Charles F. Baer. ""Mutability of mononucleotide repeats, not oxidative stress, explains the discrepancy between laboratory-accumulated mutations and the natural allele-frequency spectrum in C. elegans."" Genome research 31, no. 9 (2021): 1602-1613."
Rajagopal,2003,"Rajagopal, A. and Simon, S.M. (2003). Subcellular localization and activity of multidrug resistance proteins. Molecular biology of the cell, 14(8), pp.3389-3399."
Rampler,2020,"Rampler, E., Abiead, Y.E., Schoeny, H., Rusz, M., Hildebrand, F., Fitz, V. and Koellensperger, G. (2020). Recurrent topics in mass spectrometry-based metabolomics and lipidomics—standardization, coverage, and throughput. Analytical Chemistry, 93(1), pp.519-545."
Rehm,2020,"Rehm, J., Shield, K.D. and Weiderpass, E. (2020). Alcohol consumption. A leading risk factor for cancer. Chemico-Biological Interactions, 331, p.109280."
Ren,2024,"Ren, L., Li, Y., Feng, Y., Zhang, Z., Yang, H. and Li, M. (2024). CLCN3 in mediating the proliferation of human ovarian cancer cells. Translational Cancer Research, 13(3), p.1443."
Rice,2018,"Rice, R.H., Durbin‐Johnson, B.P., Mann, S.M., Salemi, M., Urayama, S., Rocke, D.M., Phinney, B.S. and Sundberg, J.P. (2018). Corneocyte proteomics: Applications to skin biology and dermatology. Experimental dermatology, 27(8), pp.931-938."
Riggio,2021,"Riggio, A.I., Varley, K.E. and Welm, A.L. (2021). The lingering mysteries of metastatic recurrence in breast cancer. British journal of cancer, 124(1), pp.13-26."
Rinschen,2019,"Rinschen, M.M., Ivanisevic, J., Giera, M. and Siuzdak, G. (2019). Identification of bioactive metabolites using activity metabolomics. Nature reviews Molecular cell biology, 20(6), pp.353-367."
Risha,2020,"Risha, Y., Minic, Z., Ghobadloo, S.M. and Berezovski, M.V. (2020). The proteomic analysis of breast cell line exosomes reveals disease patterns and potential biomarkers. Scientific reports, 10(1), p.13572."
Rong,2021,"Rong, G., Yi, Z., Ma, F., Guan, Y., Xu, Y., Li, L. and Xu, B. (2021). DNA damage response as a prognostic indicator in metastatic breast cancer via mutational analysis. Annals of Translational Medicine, 9(3), p.220"
Ross,2012,"Ross, C.R., Brennan-Laun, S.E. and Wilson, G.M. (2012). Tristetraprolin: roles in cancer and senescence. Ageing research reviews, 11(4), pp.473-484."
Rosspopoff,2023,"Rosspopoff, O. and Trono, D. (2023). Take a walk on the KRAB side. Trends in Genetics, 39(11), pp.844-857."
Rounbehler,2012,"Rounbehler, R.J., Fallahi, M., Yang, C., Steeves, M.A., Li, W., Doherty, J.R., Schaub, F.X., Sanduja, S., Dixon, D.A., Blackshear, P.J. and Cleveland, J.L. (2012). Tristetraprolin impairs myc-induced lymphoma and abolishes the malignant state. Cell, 150(3), pp.563-574."
Ruiz de Sabando,2019,"Ruiz de Sabando, A., Urrutia Lafuente, E., García-Amigot, F., Alonso Sánchez, A., Morales Garofalo, L., Moreno, S., Ardanaz, E. and Ramos-Arroyo, M.A. (2019). Genetic and clinical characterization of BRCA-associated hereditary breast and ovarian cancer in Navarra (Spain). BMC cancer, 19, pp.1-11."
Rusli,2022,"Rusli, H., Putri, R.M. and Alni, A. (2022). Recent developments of liquid chromatography stationary phases for compound separation: from proteins to small organic compounds. Molecules, 27(3), p.907."
Saatci,2021,"Saatci, O., Huynh-Dam, K.T. and Sahin, O. (2021). Endocrine resistance in breast cancer: from molecular mechanisms to therapeutic strategies. Journal of Molecular Medicine, 99(12), pp.1691-1710."
Saini,2020,"Saini, Y., Chen, J. and Patial, S. (2020). The tristetraprolin family of RNA-binding proteins in cancer: progress and future prospects. Cancers, 12(6), p.1539."
Saleem,2006,"Saleem, M., Kweon, M.H., Johnson, J.J., Adhami, V.M., Elcheva, I., Khan, N., Bin Hafeez, B., Bhat, K.M., Sarfaraz, S., Reagan-Shaw, S. and Spiegelman, V.S. (2006). S100A4 accelerates tumorigenesis and invasion of human prostate cancer through the transcriptional regulation of matrix metalloproteinase 9. Proceedings of the National Academy of Sciences, 103(40), pp.14825-14830."
Salih,2021,"Salih, M.H., Al-Azzawie, A.F. and Al-Assie, A.H.A. (2021). Intronic SNPs and genetic diseases: a review. Int J Res Appl Sci Biotechnol, 8, pp.267-74."
Samanta,2014,"Samanta, D., Gilkes, D.M., Chaturvedi, P., Xiang, L. and Semenza, G.L. (2014). Hypoxia-inducible factors are required for chemotherapy resistance of breast cancer stem cells. Proceedings of the National Academy of Sciences, 111(50), pp.E5429-E5438."
Samsom,2022,"Samsom, K.G., Schipper, L.J., Roepman, P., Bosch, L.J., Lalezari, F., Klompenhouwer, E.G., de Langen, A.J., Buffart, T.E., Riethorst, I., Schoenmaker, L. and Schout, D. (2022). Feasibility of whole‐genome sequencing‐based tumor diagnostics in routine pathology practice. The Journal of pathology, 258(2), pp.179-188."
Sansregret,2017,"Sansregret, L. and Swanton, C. (2017). The role of aneuploidy in cancer evolution. Cold Spring Harbor perspectives in medicine, 7(1), p.a028373."
Santoni de Sio,2014,"Santoni de Sio, F.R. (2014). Kruppel-associated box (KRAB) proteins in the adaptive immune system. Nucleus, 5(2), pp.138-148."
Sarni,2016,"Sarni, D. and Kerem, B. (2016). The complex nature of fragile site plasticity and its importance in cancer. Current opinion in cell biology, 40, pp.131-136."
Sarni,2019,"Sarni, D., Sasaki, T., Miron, K., Tur-Sinai, M.I., Rivera-Mulia, J.C., Magnuson, B., Lungman, M., Gilbert, D.M. and Kerem, B. (2019). Replication timing and transcription identifies a novel fragility signature under replication stress. BioRxiv, p.716951."
Satam,2023,"Satam, H., Joshi, K., Mangrolia, U., Waghoo, S., Zaidi, G., Rawool, S., Thakare, R.P., Banday, S., Mishra, A.K., Das, G. and Malonia, S.K. (2023). Next-generation sequencing technology: current trends and advancements. Biology, 12(7), p.997"
Savage,2014,"Savage, K.I., Matchett, K.B., Barros, E.M., Cooper, K.M., Irwin, G.W., Gorski, J.J., Orr, K.S., Vohhodina, J., Kavanagh, J.N., Madden, A.F. and Powell, A. (2014). BRCA1 Deficiency Exacerbates Estrogen-Induced DNA Damage and Genomic InstabilityEstrogen-Induced Genomic Instability in BRCA1-Deficient Cells. Cancer research, 74(10), pp.2773-2784."
Saxena,2022,"Saxena, S. and Zou, L. (2022). Hallmarks of DNA replication stress. Molecular cell, 82(12), pp.2298-2314."
Schaffer,2019,"Schaffer, L.V., Millikin, R.J., Miller, R.M., Anderson, L.C., Fellers, R.T., Ge, Y., Kelleher, N.L., LeDuc, R.D., Liu, X., Payne, S.H. and Sun, L. (2019). Identification and quantification of proteoforms by mass spectrometry. Proteomics, 19(10), p.1800361."
Schäfer,2000,"Schäfer, B.W., Fritschy, J.M., Murmann, P., Troxler, H., Durussel, I., Heizmann, C.W. and Cox, J.A., (2000). Brain S100A5 is a novel calcium-, zinc-, and copper ion-binding protein of the EF-hand superfamily. Journal of Biological Chemistry, 275(39), pp.30623-30630."
